Date;Disturbed;females;Field;Field 2;Field 3;Field 4;Fish Family;Genus;HCvsEF;juveniles;length;males;number caught;number seen;sampleID;Site;Species;weight
07/12/2010;undisturbed;;;;;;;;HC;;;;1;0;14;Turure u;Rivulus hartii;0.4
07/12/2010;undisturbed;18;;;;;;;HC;18;;4;40;0;14;Turure u;Poecilia reticulata;0.12
14/12/2010;disturbed;;;;;;;;HC;;;;2;0;101;Quare d;Andinoacara pulcher;4.5
14/12/2010;disturbed;;;;;;;;HC;;;;2;0;101;Quare d;Rivulus hartii;2
14/12/2010;disturbed;;;;;;;;HC;;;;21;0;101;Quare d;Rivulus hartii;0.5
14/12/2010;disturbed;;;;;;;;HC;;;;9;0;101;Quare d;Rivulus hartii;0.3
14/12/2010;disturbed;;;;;;;;HC;;;;7;0;101;Quare d;Rivulus hartii;1.4
14/12/2010;disturbed;;;;;;;;HC;;;;4;0;101;Quare d;Rivulus hartii;1
14/12/2010;disturbed;;;;;;;;HC;;;;2;0;101;Quare d;Rivulus hartii;3.5
14/12/2010;disturbed;;;;;;;;HC;;;;2;0;101;Quare d;Rivulus hartii;5
14/12/2010;disturbed;;;;;;;;HC;;;;2;0;101;Quare d;Rivulus hartii;4.3
14/12/2010;disturbed;;;;;;;;HC;;;;4;0;101;Quare d;Rivulus hartii;3
14/12/2010;disturbed;31;;;;;;;HC;20;;17;68;0;101;Quare d;Poecilia reticulata;0.13
14/12/2010;undisturbed;;;;;;;;HC;;;;1;0;102;Quare u;Andinoacara pulcher;9
14/12/2010;undisturbed;;;;;;;;HC;;;;1;0;102;Quare u;Andinoacara pulcher;4.3
14/12/2010;undisturbed;;;;;;;;HC;;;;1;0;102;Quare u;Andinoacara pulcher;2.6
14/12/2010;undisturbed;;;;;;;;HC;;;;1;0;102;Quare u;Andinoacara pulcher;1.6
14/12/2010;undisturbed;;;;;;;;HC;;;;10;0;102;Quare u;Hemigrammus unilineatus;1.5
14/12/2010;undisturbed;;;;;;;;HC;;;;2;0;102;Quare u;Hemigrammus unilineatus;2.5
14/12/2010;undisturbed;;;;;;;;HC;;;;4;0;102;Quare u;Hemigrammus unilineatus;1
14/12/2010;undisturbed;;;;;;;;HC;;;;2;0;102;Quare u;Hemigrammus unilineatus;3
14/12/2010;undisturbed;;;;;;;;HC;;;;4;0;102;Quare u;Hemigrammus unilineatus;2
14/12/2010;undisturbed;;;;;;;;HC;;;;2;0;102;Quare u;Rivulus hartii;2.4
14/12/2010;undisturbed;;;;;;;;HC;;;;1;0;102;Quare u;Rivulus hartii;1
14/12/2010;undisturbed;;;;;;;;HC;;;;1;0;102;Quare u;Rivulus hartii;1.4
14/12/2010;undisturbed;;;;;;;;HC;;;;1;0;102;Quare u;Rivulus hartii;0.6
14/12/2010;undisturbed;;;;;;;;HC;;;;1;0;102;Quare u;Crenicichla frenata;20.4
14/12/2010;undisturbed;;;;;;;;HC;;;;1;0;102;Quare u;Crenicichla frenata;5.7
14/12/2010;undisturbed;;;;;;;;HC;;;;1;0;102;Quare u;Crenicichla frenata;10.8
14/12/2010;undisturbed;16;;;;;;;HC;30;;11;57;0;102;Quare u;Poecilia reticulata;0.1
18/12/2010;disturbed;;;;;;;;HC;;;;1;0;103;Maracas d;Andinoacara pulcher;15.7
18/12/2010;disturbed;;;;;;;;HC;;;;1;0;103;Maracas d;Andinoacara pulcher;26.1
18/12/2010;disturbed;;;;;;;;HC;;;;1;0;103;Maracas d;Andinoacara pulcher;9.2
18/12/2010;disturbed;;;;;;;;HC;;;;1;0;103;Maracas d;Andinoacara pulcher;23.3
18/12/2010;disturbed;;;;;;;;HC;;;;1;0;103;Maracas d;Andinoacara pulcher;45.7
